country,year,Numpate,R_D,Uni10,GdpLog,educ,FDI,IPr,Trade,PerCapDoll,GDPgrowth,urban,LaborAdEd,corrupt,PopTotLog,Stability,count,devel
Argentina,2008,1115.0,0.47055,0.249500001996,11.5581780199535,4.84440994262695,2.68990096507093,2.680075454597701,40.4026733790382,9020.87309807194,4.05723310346406,38.2318637986302,83.8499984741211,-0.4355765,7.60292944656624,-0.0852222,8,0
Argentina,2009,952.0,0.58398,0.2470185600853379,11.5224135639003,5.53105020523071,1.20643922647566,2.4910549355421687,34.0571269054879,8225.13717626412,-5.91852507634947,38.289494990296,83.879997253418,-0.4449961,7.60727041419046,-0.2324056,8,0
Argentina,2010,868.0,0.56104,0.2451674252024218,11.626984064934,5.01971006393433,2.67516171886537,2.472798546718453,34.9710132635696,10385.9644319555,10.1253981561002,38.4442699573202,83.8399963378906,-0.3614692,7.61053723396862,-0.0847979,8,0
Argentina,2011,1027.0,0.56597,0.0,11.7244096457628,5.29062986373901,2.04464008003071,2.454542157894737,35.2061549999644,12848.8641969705,6.00395169280579,38.2604784860788,83.6399993896484,-0.3661579,7.61554490679501,0.1589937,8,0
Argentina,2012,1079.0,0.63491,0.2396169713128884,11.7371786239148,5.34582996368408,2.80667189982932,2.3815089459459458,30.5265423717108,13082.664325572,-1.0264204544321,37.9961446073599,82.4700012207031,-0.4431399,7.62048242548759,0.1030405,8,0
Argentina,2013,922.0,0.61849,0.236950344804218,11.7419588567585,5.43661022186279,1.77920553648531,2.334612414479638,29.3339290021037,13080.2547323367,2.40532378079436,37.7410622908127,82.6500015258789,-0.432282,7.62534265498965,0.0653143,8,0
Argentina,2014,791.0,0.59396,0.2343594370686321,11.7212496041678,5.36144018173218,0.962406650325519,2.4246094741250634,28.4067936452275,12334.7982453893,-2.51261532081394,37.4954324954567,82.2099990844727,-0.5416201,7.63011755383861,-0.0051219,8,0
Argentina,2017,766.0,0.54152,0.2270415009840773,11.8086353780397,5.46223020553589,1.78936428458615,3.734722376,25.2896011376345,14613.0418246696,2.81850297245272,36.8197273819288,79.0299987792969,-0.2559502,7.64389475073197,0.1694364,8,0
Armenia,2007,170.0,0.21107,0.0,9.96408520308786,3.01893997192383,7.25233197719082,2.6974512436904146,56.9750470853147,3139.27749894333,13.7000000015467,57.6967089498781,57.2200012207031,-0.7423844,6.46725549588316,0.150446,11,0
Armenia,2008,266.0,0.22438,0.0,10.0667745532727,3.17272996902466,8.09234920917782,2.7442533095623878,54.5423279613666,4010.85724255226,6.90000000042959,58.0500084305732,70.5,-0.7080976,6.46353734875181,-0.0093653,11,0
Armenia,2009,160.0,0.29093,0.0,9.93691250447663,3.84079003334045,8.78869455248089,2.668089562874252,57.2742357441995,2994.34254448509,-14.1000000006998,58.3007192002154,60.810001373291,-0.6197577,6.46061102354301,0.2277748,11,0
Armenia,2010,192.0,0.24139,0.0,9.96662435007388,3.24900007247925,5.71603784546004,2.840160579573772,64.642975973633,3218.37270660563,2.2000000002151,58.3770093860371,71.5100021362305,-0.6963042,6.45898801352734,0.0718553,11,0
Armenia,2011,200.0,0.27014,0.0,10.006128373683,3.14385008811951,6.44066836705362,3.012231596273292,69.4355736620453,3525.80474671153,4.69999999867412,58.2512394353674,69.1100006103516,-0.656885,6.45887011557039,-0.063869,11,0
Armenia,2012,184.0,0.23853,0.0,10.0260967099092,2.77248001098633,4.67672787765567,3.430632202453988,75.9616759606704,3681.8574560431,7.20000000096486,58.2395369262703,64.9800033569336,-0.5877874,6.46002973922634,0.154795,11,0
Armenia,2013,175.0,0.22216,0.0,10.0461620293994,2.65018010139465,3.11193148125796,3.6013182205128205,77.5550481598824,3838.18580148382,3.3,58.2038869431711,70.3199996948242,-0.5319471,6.46203603487125,0.1103851,11,0
Armenia,2014,156.0,0.24151,0.0,10.0648139999268,2.24724006652832,3.50211424719527,3.458404569497681,75.778866962639,3986.23162376713,3.60000000058993,58.1184347110783,74.5100021362305,-0.5239985,6.46425146973665,-0.2971358,11,0
Armenia,2015,160.0,0.25002,0.0,10.0233898343936,2.80591011047363,1.74473699241328,3.5153694253883616,71.6820743427575,3607.29669672271,3.19999999896625,58.0447392019333,76.8600006103516,-0.5338237,6.46620797029806,-0.2523326,11,0
Armenia,2016,192.0,0.23305,0.0,10.0230933329806,2.75812005996704,3.16450822069324,3.832730454520175,76.0779674593548,3591.82927553023,0.199999999825991,58.000950231619,74.620002746582,-0.5719545,6.46777764709481,-0.6622638,11,0
Armenia,2017,187.0,0.22788,0.0,10.0617335698673,2.70759010314941,2.17684677683483,4.006361008,87.202376539837,3914.5012684128,7.50000000164144,57.9734407885213,73.6100006103516,-0.5604638,6.46905713174246,-0.6206948,11,0
Austria,2007,9669.0,2.41843,8.438323150889152,11.589604982458,5.14690017700195,17.7173406826104,5.873031178950495,100.733254061926,46855.7717452095,3.72741530093519,34.5800053724743,77.2099990844727,2.013397,6.91884188706976,1.283752,11,1
Austria,2008,9791.0,2.56945,8.41194900532308,11.6337655804023,5.26395988464355,1.46438004562602,6.185601443318431,102.073682731706,51708.7657541758,1.4604236757386,35.0487329273051,75.5699996948242,1.843035,6.92020140875959,1.339206,11,1
Austria,2009,9974.0,2.59674,8.389942472561591,11.602247021075,5.73024988174438,3.57347684121608,6.071597349999999,87.0622309742796,47963.1794023217,-3.76457817791677,35.5416598530673,75.8099975585938,1.703025,6.92133905700853,1.190602,11,1
